page,country,rev_id,prediction
Norm Wolfinger,United States,799300265,RevisionNotFound
Mohd Eekmal Ahmad,Malaysia,799540668,RevisionNotFound
Raja Muhammad Akbar Khan,Pakistan,799880073,RevisionNotFound
Rich Eychaner,United States,799933274,RevisionNotFound
José Francisco Gomes Monteiro,Portugal,799981363,RevisionNotFound
Michael McInerney,Ireland,800072571,RevisionNotFound
Craig Huey,United States,800144885,RevisionNotFound
Abhimanyu Rao,India,800233652,RevisionNotFound
Donald Jeffrey Large,United States,800299837,RevisionNotFound
Dragan Klaric,Sweden,800471126,RevisionNotFound
Bashir Ahmed Sarki,Pakistan,800574730,RevisionNotFound
Siddique Nazmul Alam,Bangladesh,800707821,RevisionNotFound
Vasyl Stefanyk,Hungary,800802122,TextDeleted
Georges Sada,Iraq,801177435,RevisionNotFound
Anwara Ali,United Kingdom,801306872,RevisionNotFound
Secular and Nationalist Jinnah,Pakistan,801536406,RevisionNotFound
Ambedkarism,India,801563949,RevisionNotFound
Michael Briguglio,Malta,801566979,RevisionNotFound
Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates,801638735,RevisionNotFound
Abhijit Pandya,United Kingdom,801696196,RevisionNotFound
Ouyang Xiu,China,801835819,TextDeleted
Ali Asghar Khan (politician),Pakistan,802148439,RevisionNotFound
List of politicians on Veep,United States,802302246,RevisionNotFound
Daniel O'Neill (Royalist),Ireland,802445176,TextDeleted
Ananda Syahendar Perdana,Indonesia,802475516,RevisionNotFound
Ezatullah Mujahid,Afghanistan,802515929,RevisionNotFound
Maciej Filip Zegarski,Poland,802765034,RevisionNotFound
Bernard Binlin Dadié,Ivorian,802904214,TextDeleted
Than Htay,Myanmar,802937732,TextDeleted
Anatoliy Peshko,Ukraine,803413615,RevisionNotFound
Kevin Hardwick,United States,803484030,RevisionNotFound
David Sparrow,Canada,803784385,RevisionNotFound
Iftikhar Ahmed (Swiss lawmaker),Switzerland,804057093,RevisionNotFound
João Victor Guedes,Brazil,804118645,RevisionNotFound
Kampa Borgoyary,India,804158476,RevisionNotFound
Lucia Lucchesi-Ghiselli,Italy,804473605,RevisionNotFound
Lib Peck,United Kingdom,804697858,RevisionNotFound
Dudley–Winthrop family,United States,804791599,RevisionNotFound
Larry A. Kaczala,United States,804941978,RevisionNotFound
William M. Rainach,United States,804945338,RevisionNotFound
David J. Dwork,United States,804946658,RevisionNotFound
Ron Crickenberger,United States,805031334,RevisionNotFound
Lav Grigorije Pajkić,Serbia,805041930,RevisionNotFound
Richards–Young family,United States,805211553,RevisionNotFound
Ian Axton,United Kingdom,805420467,RevisionNotFound
Dennis Shea (lawyer),United States,805517427,RevisionNotFound
Kamrul Hasan Nasim,Bangladesh,805697623,RevisionNotFound
Political positions of Pat Buchanan,United States,805788048,RevisionNotFound
Hossein Khan Movaghar,Iran,805936041,RevisionNotFound
Ali Asghar Mousapasandi,Iran,805970954,RevisionNotFound
Valeriy Panasenko,Moldova,805993160,RevisionNotFound
Edivaldo Holanda Júnior,Brazil,806030859,RevisionNotFound
Rajah Alon,Philippines,806179522,RevisionNotFound
Golam Mohammad Rabbani,Bangladesh,806223655,RevisionNotFound
Mohammed Naguib,Egypt,806372496,TextDeleted
Phillip Jackson,United States,806403304,RevisionNotFound
Valeriu Turea,Moldova,806542084,RevisionNotFound
Rajah Gambang,Philippines,806695084,RevisionNotFound
Claudia Cruz Santiago,Mexico,806708318,TextDeleted
Olajide Awosedo,Nigeria,806811023,RevisionNotFound
William McMahon,Australia,807000274,TextDeleted
Dirtbag Left,United States,807161510,RevisionNotFound
Guy Georgias,Zimbabwe,807196681,TextDeleted
John Rose (Trotskyist),United Kingdom,807336308,RevisionNotFound
Jalal Movaghar,Iran,807367030,RevisionNotFound
Mohsen Movaghar,Iran,807367166,RevisionNotFound
King Gutierrez,Philippines,807479587,RevisionNotFound
Ajay Kannoujiya,India,807484325,RevisionNotFound
